index,1 days,5 days,10 days,15 days,20 days,25 days,30 days,35 days,40 days,45 days,50 days,55 days,60 days,65 days,70 days,75 days,80 days,85 days,90 days
2015-01-19,1.4650819,1.3998656,1.0795598,1.2510111,1.2091792,1.1211514,1.2345545,1.24161,1.362437,1.3113859,1.17906,1.3710864,1.285136,1.3014,1.3841727,1.2103653,1.2326064,1.3135629,1.4241815
2015-01-20,1.5250416,1.5484676,1.226455,1.2741847,1.2852528,1.2468674,1.2614205,1.3356733,1.4486718,1.3761795,1.3258979,1.3510821,1.2995436,1.3064182,1.3404186,1.216757,1.2619083,1.3625042,1.432872
2015-01-21,1.5906475,1.6431417,1.3537054,1.3198326,1.3575776,1.3028905,1.3341353,1.3797369,1.5240798,1.3896697,1.3667912,1.3498249,1.3301973,1.3143373,1.3386991,1.2580407,1.3038208,1.3932946,1.4127142
2015-01-22,1.5864465,1.6324732,1.3010955,1.2601616,1.3297584,1.2159982,1.3712075,1.4335313,1.4978518,1.4591327,1.3501999,1.3671563,1.3567371,1.4126697,1.4002495,1.2695987,1.2764537,1.4093947,1.4340637
2015-01-23,1.6933279,1.7540734,1.5227373,1.3736138,1.4323735,1.2893145,1.4416716,1.4880166,1.5605705,1.4349751,1.3993161,1.3161411,1.3362153,1.3478637,1.3284237,1.2532382,1.2803538,1.3562789,1.372544
2015-01-24,1.7056026,1.7054074,1.4715567,1.3501735,1.4012468,1.3121552,1.4064851,1.5096691,1.5009527,1.4956107,1.329839,1.3151946,1.3162894,1.367549,1.294188,1.1900988,1.1871431,1.3337834,1.3903899
2015-01-25,1.6844366,1.6697276,1.4614074,1.4037616,1.4173617,1.3277578,1.4054649,1.4409983,1.4993608,1.4511588,1.3116796,1.3652864,1.301527,1.3110602,1.3147824,1.2199762,1.2430837,1.3277495,1.3735075
2015-01-26,1.6375878,1.6759515,1.3955946,1.3414676,1.422394,1.2704737,1.4190564,1.454802,1.4737332,1.4922404,1.3343999,1.399555,1.3344531,1.3509583,1.3712065,1.2303193,1.2872105,1.3594148,1.4199173
2015-01-27,1.5580049,1.5596554,1.2278881,1.2321796,1.287466,1.1457798,1.31795,1.404666,1.4402266,1.4036655,1.2942553,1.3739922,1.3204935,1.4144061,1.4221108,1.2897699,1.3154888,1.4340036,1.4492538
2015-01-28,1.5757971,1.7417445,1.4726427,1.3409903,1.4615114,1.2704713,1.4116359,1.4638488,1.501353,1.4417579,1.4560251,1.3634322,1.3288324,1.3227081,1.3787739,1.334502,1.4074712,1.4317472,1.4732966
2015-01-29,1.779453,1.947061,1.7981801,1.5362394,1.61567,1.433727,1.4783807,1.5571399,1.5491607,1.3947048,1.4808679,1.3162613,1.2894094,1.2472513,1.2507715,1.3317807,1.3815622,1.3547151,1.4002604
2015-01-30,1.590832,1.6442447,1.5229647,1.4051838,1.4091554,1.2637653,1.3122613,1.3662033,1.3822415,1.2441261,1.2630033,1.2119071,1.2048798,1.1757877,1.2222955,1.2169614,1.2717595,1.2796891,1.4205606
2015-01-31,1.6258702,1.7201493,1.6394749,1.484231,1.5084085,1.2887483,1.4200702,1.3421493,1.3667624,1.2659786,1.2534413,1.2149005,1.1894617,1.0421243,1.1357508,1.0973599,1.2275131,1.1209476,1.3599229
2015-02-01,1.5588903,1.6077523,1.4772382,1.3851726,1.3423188,1.3115456,1.2291749,1.2766004,1.3869755,1.1900084,1.2861938,1.1963904,1.1661427,1.0950744,1.1776149,1.1912444,1.2735271,1.3014605,1.4147756
2015-02-02,1.6189992,1.6637259,1.5612023,1.4143434,1.4080441,1.2970855,1.3783383,1.2874582,1.4360826,1.1913586,1.2103176,1.1877608,1.2460794,1.1137309,1.184284,1.145294,1.2362874,1.2212162,1.360168
2015-02-03,1.6229362,1.6040473,1.4358358,1.3483605,1.371742,1.2071459,1.3983855,1.3418431,1.4168837,1.2792175,1.2197106,1.2545013,1.2854738,1.2505109,1.2615123,1.1822445,1.24592,1.2669978,1.422539
2015-02-04,1.6260922,1.6564548,1.590457,1.4271903,1.4203489,1.2959018,1.3462827,1.348084,1.3614118,1.2460847,1.2105527,1.1255846,1.2089965,1.1150897,1.1680107,1.069397,1.197211,1.2118571,1.4059961
2015-02-05,1.639108,1.6872652,1.6156466,1.4422975,1.4469881,1.325861,1.3703921,1.3596303,1.3827939,1.2508886,1.2144887,1.1503394,1.2253277,1.1114461,1.1486533,1.0990474,1.2063334,1.2084038,1.4015117
2015-02-06,1.6146038,1.5806067,1.5224578,1.504561,1.4335651,1.241164,1.3234596,1.2622149,1.2390754,1.2036042,1.1350355,1.1707869,1.1743317,1.024432,1.1519041,1.0445442,1.1682849,1.089386,1.4337747
2015-02-07,1.6268764,1.6451213,1.6195738,1.5184383,1.4714642,1.3267269,1.3355,1.297085,1.308816,1.2138426,1.1998992,1.1213472,1.2093315,1.0439665,1.1552384,1.0626159,1.2021358,1.1633737,1.44345
2015-02-08,1.7409916,1.7931404,1.7665949,1.5364251,1.5759361,1.3927269,1.4951797,1.4002647,1.4050775,1.2926855,1.2229104,1.1788578,1.2614391,1.0996327,1.1354678,1.0769553,1.212359,1.1594093,1.3913083
2015-02-09,1.6045074,1.647229,1.6317732,1.4109304,1.3975277,1.2524564,1.2862089,1.3359573,1.3670518,1.0797706,1.1937447,1.0147574,1.1697233,1.0540562,1.0854459,1.1443286,1.2418802,1.2370863,1.3945143
2015-02-10,1.6473608,1.6433694,1.5678725,1.4851396,1.4521153,1.2958794,1.413739,1.2995183,1.3703799,1.2190022,1.2118037,1.1979945,1.2882731,1.160922,1.2186234,1.1832023,1.2543728,1.2295394,1.4906404
2015-02-11,1.6017773,1.5949402,1.6426218,1.4893107,1.4491816,1.2829792,1.350744,1.2563393,1.2373114,1.1325395,1.0921786,1.0368137,1.1467819,0.9623134,1.0663056,0.96542406,1.1678174,1.0884452,1.4527228
2015-02-12,1.6459358,1.6613958,1.6638815,1.4729366,1.4624705,1.3226659,1.3641205,1.3278527,1.3032417,1.1941178,1.1462917,1.0684686,1.1745472,1.0251114,1.067229,0.9880674,1.1425776,1.1183991,1.398243
2015-02-13,1.6137135,1.5708513,1.6536362,1.446933,1.4041932,1.2362142,1.284802,1.2604027,1.2594202,1.004339,1.0431838,0.9439733,1.1269381,1.0073872,1.0673318,1.0792434,1.223968,1.223279,1.4572687
